xs_id,distance_along_centerline_m,num_valid_points,elevation_range_m,max_slope_deg,distortion_risk
XS_0154,3850.0,100,42.987578279507375,83.77889015720618,low
XS_0155,3875.0,100,30.354000000000042,83.68993395565859,low
XS_0156,3900.0,100,67.85500000000002,84.68792565778644,low
XS_0157,3925.0,100,60.625,86.46116863258077,low
XS_0158,3950.0,100,77.11700000000008,86.46116863258077,low
XS_0159,3975.0,100,30.41929826111368,83.3267269336482,low
XS_0160,4000.0,100,35.86278497161129,84.84291365150759,low
XS_0161,4025.0,100,29.607530613191557,83.97529310048346,low
XS_0162,4050.0,100,21.24488579161789,81.84418802104265,low
XS_0163,4075.0,100,20.309000000000083,81.51351504804198,low
XS_0164,4100.0,100,27.299999999999955,83.15923225814093,low
XS_0165,4125.0,100,24.720000000000027,82.83036934459078,low
XS_0166,4150.0,100,84.11999999999989,87.39092408730176,low
XS_0167,4175.0,100,76.01999999999998,85.8035592224051,low
XS_0168,4200.0,100,55.30000000000007,85.80355922240079,low
XS_0169,4225.0,100,92.79675370149835,86.30573632772914,low
XS_0170,4250.0,100,86.35200000000009,86.25068815364776,low
XS_0171,4275.0,100,78.97000000000025,86.14546503315476,low
XS_0172,4300.0,100,92.0987995163672,86.07217298417116,low
XS_0173,4325.0,100,92.50555225012079,85.20063201640914,low
XS_0174,4350.0,100,88.89999999999998,85.68166725168815,low
XS_0175,4375.0,100,89.31999999999994,85.82170479523025,low
XS_0176,4400.0,100,78.6859999999997,85.9072451746429,low
XS_0177,4425.0,100,83.06000000000017,86.03327036580453,low
XS_0178,4450.0,100,79.25999999999999,86.51368627669804,low
XS_0179,4475.0,100,88.55999999999995,86.31411570753167,low
XS_0180,4500.0,100,96.58999999999992,86.4386953680702,low
XS_0181,4525.0,100,102.59433432847152,86.92926174001184,low
XS_0182,4550.0,100,102.91209962854646,87.90415918461498,low
XS_0183,4575.0,100,90.15300000000002,87.59595348814376,low
XS_0184,4600.0,100,93.99000000000001,86.00593901583427,low
XS_0185,4625.0,100,97.35341983415697,86.00593901583427,low
XS_0186,4650.0,100,60.568395911151015,84.67725053772094,low
XS_0187,4675.0,100,63.01272425963134,84.7507804038551,low
XS_0188,4700.0,100,95.9000000000002,87.34097215855988,low
XS_0189,4725.0,100,105.75719963973302,87.475822661867,low
XS_0190,4750.0,100,109.88721173090289,87.56224037627139,low
XS_0191,4775.0,100,31.412153133733455,81.50980739107831,low
XS_0192,4800.0,100,28.436999999999898,81.50980739107831,low
XS_0193,4825.0,100,28.0,82.05032266610823,low
XS_0194,4850.0,100,6.468000000000075,57.34309167254225,low
XS_0195,4875.0,100,16.933430980304706,78.41895030617744,low
XS_0196,4900.0,100,17.93810360319162,80.33630329796061,low
XS_0197,4925.0,100,18.354000000000156,80.62486213768177,low
XS_0198,4950.0,100,23.100000000000136,80.90103378045839,low
XS_0199,4975.0,100,45.12731414251539,84.49461909187701,low
XS_0200,5000.0,100,42.35544124692274,84.25094199019973,low
XS_0201,5025.0,100,66.5,85.73147196019613,low
XS_0202,5050.0,100,68.47400000000005,85.82310955417351,low
XS_0203,5075.0,100,84.01073486952305,87.89124312261912,low
XS_0204,5100.0,100,135.4334988017156,88.19562787090734,low
XS_0205,5125.0,100,82.72501371786745,87.80414841177556,low
XS_0206,5150.0,100,86.44200000000023,87.71359338200706,low
XS_0207,5175.0,100,83.481,87.62234145616105,low
XS_0208,5200.0,100,74.34138896871309,87.09446124802196,low
XS_0209,5225.0,100,72.5253081803819,87.10141648312523,low
XS_0210,5250.0,100,68.99200000000019,85.47004664653277,low
XS_0211,5275.0,100,73.06572525776471,85.57404392596042,low
XS_0212,5300.0,100,76.32471928686846,85.6064291345354,low
XS_0213,5325.0,100,80.67474677604173,85.86675017790353,low
XS_0214,5350.0,100,80.74499999999989,85.94730131320642,low
XS_0215,5375.0,100,79.26300164883423,86.03021423953953,low
XS_0216,5400.0,100,70.60674280570527,87.25796866725673,low
XS_0217,5425.0,100,68.5028407808818,87.20246999803851,low
XS_0218,5450.0,100,66.49999999999989,87.15185452824275,low
XS_0219,5475.0,100,66.53399999999976,87.15138762269738,low
XS_0220,5500.0,100,76.59442071358228,87.59661942763341,low
XS_0221,5525.0,100,78.13300000000015,87.52135235177542,low
XS_0222,5550.0,100,77.09000000000015,87.44862513512345,low
XS_0223,5575.0,100,75.41600000000017,87.37150414298117,low
XS_0224,5600.0,100,64.332,85.14822464662346,low
XS_0225,5625.0,100,32.81700000000001,82.45187897455881,low
XS_0226,5650.0,100,32.41200000000026,82.20634992998828,low
